playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,IBB,HBP,SH,SF,GIDP
cummist01,1990,1,TOR,AL,6,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
cuylemi01,1990,1,DET,AL,19,51,8,13,3,1,0,8,1,2,5,10,0.255,0,0,2,1,1
danieka01,1990,1,LAN,NL,130,450,81,133,23,1,27,94,4,3,68,104,0.296,1,3,2,3,9
darliro01,1990,1,NYN,NL,34,31,2,4,0,0,0,2,0,0,3,12,0.129,0,0,5,0,0
darwida01,1990,1,HOU,NL,52,38,5,5,1,1,0,3,0,0,2,21,0.132,0,0,3,0,0
dascedo01,1990,1,CHN,NL,113,241,27,61,9,5,1,26,15,6,21,18,0.253,2,1,5,3,3
daughja01,1990,1,TEX,AL,125,310,36,93,20,2,6,47,0,0,22,49,0.3,0,2,2,3,4
daultda01,1990,1,PHI,NL,143,459,62,123,30,1,12,57,7,1,72,72,0.268,9,2,3,4,6
davidma01,1990,1,HOU,NL,57,130,12,38,5,1,1,11,0,3,10,18,0.292,1,0,1,1,1
davisal01,1990,1,SEA,AL,140,494,63,140,21,0,17,68,0,2,85,68,0.283,10,4,0,9,9
davisch01,1990,1,CAL,AL,113,412,58,109,17,1,12,58,1,2,61,89,0.265,4,0,0,3,14
daviser01,1990,1,CIN,NL,127,453,84,118,26,2,24,86,21,3,60,100,0.26,6,2,0,3,7
davisgl01,1990,1,HOU,NL,93,327,44,82,15,4,22,64,8,3,46,54,0.251,17,8,0,0,5
davisjo02,1990,1,ATL,NL,12,28,0,2,0,0,0,1,0,0,3,3,0.071,0,0,0,0,1
davisjo04,1990,1,SDN,NL,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
davisma01,1990,1,KCA,AL,53,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
davisst02,1990,1,KCA,AL,21,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
dawsoan01,1990,1,CHN,NL,147,529,72,164,28,5,27,100,16,2,42,65,0.31,21,2,0,8,12
dayleke01,1990,1,SLN,NL,58,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
deckest01,1990,1,SFN,NL,15,54,5,16,2,0,3,8,0,0,1,10,0.296,0,0,1,0,1
deerro01,1990,1,ML4,AL,134,440,57,92,15,1,27,69,2,3,64,147,0.209,6,4,0,3,0
dejesjo01,1990,1,PHI,NL,22,38,1,3,1,0,0,2,0,0,4,21,0.079,0,0,4,0,0
deleojo01,1990,1,SLN,NL,32,56,1,6,0,1,0,3,0,0,1,23,0.107,0,0,5,0,1
delucri01,1990,1,SEA,AL,5,0,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0
dempsri01,1990,1,LAN,NL,62,128,13,25,5,0,2,15,1,0,23,29,0.195,0,0,0,0,8
